bloco,rep,trat,emerg,tempo,censura
1,1,Bas,1,16,1
1,1,Bas,2,16,1
1,1,Bas,3,16,1
1,1,Bas,4,18,1
1,1,Bas,5,20,1
1,1,Bas,6,23,0
1,1,Bas,7,23,0
1,1,Bas,8,23,0
1,1,Bas,9,23,0
1,1,Bas,10,23,0
1,1,Bas,11,23,0
1,1,Bas,12,23,0
1,1,Bas,13,23,0
1,1,Bas,14,23,0
1,1,Bas,15,23,0
1,1,Bas,16,23,0
1,1,Bas,17,23,0
1,1,Bas,18,23,0
1,1,Bas,19,23,0
1,1,Bas,20,23,0
1,2,Bas,1,16,1
1,2,Bas,2,16,1
1,2,Bas,3,16,1
1,2,Bas,4,16,1
1,2,Bas,5,16,1
1,2,Bas,6,16,1
1,2,Bas,7,16,1
1,2,Bas,8,16,1
1,2,Bas,9,17,1
1,2,Bas,10,17,1
1,2,Bas,11,17,1
1,2,Bas,12,23,0
1,2,Bas,13,23,0
1,2,Bas,14,23,0
1,2,Bas,15,23,0
1,2,Bas,16,23,0
1,2,Bas,17,23,0
1,2,Bas,18,23,0
1,2,Bas,19,23,0
1,2,Bas,20,23,0
1,3,Bas,1,16,1
1,3,Bas,2,16,1
1,3,Bas,3,16,1
1,3,Bas,4,16,1
1,3,Bas,5,16,1
1,3,Bas,6,16,1
1,3,Bas,7,16,1
1,3,Bas,8,16,1
1,3,Bas,9,17,1
1,3,Bas,10,18,1
1,3,Bas,11,18,1
1,3,Bas,12,19,1
1,3,Bas,13,20,1
1,3,Bas,14,23,0
1,3,Bas,15,23,0
1,3,Bas,16,23,0
1,3,Bas,17,23,0
1,3,Bas,18,23,0
1,3,Bas,19,23,0
1,3,Bas,20,23,0
1,4,Bas,1,16,1
1,4,Bas,2,16,1
1,4,Bas,3,16,1
1,4,Bas,4,17,1
1,4,Bas,5,18,1
1,4,Bas,6,18,1
1,4,Bas,7,18,1
1,4,Bas,8,18,1
1,4,Bas,9,22,1
1,4,Bas,10,23,0
1,4,Bas,11,23,0
1,4,Bas,12,23,0
1,4,Bas,13,23,0
1,4,Bas,14,23,0
1,4,Bas,15,23,0
1,4,Bas,16,23,0
1,4,Bas,17,23,0
1,4,Bas,18,23,0
1,4,Bas,19,23,0
1,4,Bas,20,23,0
1,1,Pod,1,16,1
1,1,Pod,2,16,1
1,1,Pod,3,17,1
1,1,Pod,4,17,1
1,1,Pod,5,17,1
1,1,Pod,6,18,1
1,1,Pod,7,18,1
1,1,Pod,8,18,1
1,1,Pod,9,18,1
1,1,Pod,10,19,1
1,1,Pod,11,19,1
1,1,Pod,12,19,1
1,1,Pod,13,19,1
1,1,Pod,14,19,1
1,1,Pod,15,23,0
1,1,Pod,16,23,0
1,1,Pod,17,23,0
1,1,Pod,18,23,0
1,1,Pod,19,23,0
1,1,Pod,20,23,0
1,2,Pod,1,16,1
1,2,Pod,2,17,1
1,2,Pod,3,17,1
1,2,Pod,4,17,1
1,2,Pod,5,18,1
1,2,Pod,6,18,1
1,2,Pod,7,18,1
1,2,Pod,8,18,1
1,2,Pod,9,18,1
1,2,Pod,10,19,1
1,2,Pod,11,19,1
1,2,Pod,12,19,1
1,2,Pod,13,20,1
1,2,Pod,14,21,1
1,2,Pod,15,23,0
1,2,Pod,16,23,0
1,2,Pod,17,23,0
1,2,Pod,18,23,0
1,2,Pod,19,23,0
1,2,Pod,20,23,0
1,3,Pod,1,17,1
1,3,Pod,2,17,1
1,3,Pod,3,17,1
1,3,Pod,4,17,1
1,3,Pod,5,17,1
1,3,Pod,6,17,1
1,3,Pod,7,17,1
1,3,Pod,8,18,1
1,3,Pod,9,18,1
1,3,Pod,10,18,1
1,3,Pod,11,18,1
1,3,Pod,12,18,1
1,3,Pod,13,19,1
1,3,Pod,14,21,1
1,3,Pod,15,23,0
1,3,Pod,16,23,0
1,3,Pod,17,23,0
1,3,Pod,18,23,0
1,3,Pod,19,23,0
1,3,Pod,20,23,0
1,4,Pod,1,17,1
1,4,Pod,2,17,1
1,4,Pod,3,17,1
1,4,Pod,4,17,1
1,4,Pod,5,17,1
1,4,Pod,6,18,1
1,4,Pod,7,18,1
1,4,Pod,8,18,1
1,4,Pod,9,18,1
1,4,Pod,10,18,1
1,4,Pod,11,19,1
1,4,Pod,12,20,1
1,4,Pod,13,20,1
1,4,Pod,14,23,0
1,4,Pod,15,23,0
1,4,Pod,16,23,0
1,4,Pod,17,23,0
1,4,Pod,18,23,0
1,4,Pod,19,23,0
1,4,Pod,20,23,0
1,1,c,1,18,1
1,1,c,2,18,1
1,1,c,3,18,1
1,1,c,4,18,1
1,1,c,5,19,1
1,1,c,6,19,1
1,1,c,7,20,1
1,1,c,8,20,1
1,1,c,9,23,0
1,1,c,10,23,0
1,1,c,11,23,0
1,1,c,12,23,0
1,1,c,13,23,0
1,1,c,14,23,0
1,1,c,15,23,0
1,1,c,16,23,0
1,1,c,17,23,0
1,1,c,18,23,0
1,1,c,19,23,0
1,1,c,20,23,0
1,2,c,1,16,1
1,2,c,2,16,1
1,2,c,3,17,1
1,2,c,4,17,1
1,2,c,5,17,1
1,2,c,6,17,1
1,2,c,7,17,1
1,2,c,8,18,1
1,2,c,9,19,1
1,2,c,10,23,0
1,2,c,11,23,0
1,2,c,12,23,0
1,2,c,13,23,0
1,2,c,14,23,0
1,2,c,15,23,0
1,2,c,16,23,0
1,2,c,17,23,0
1,2,c,18,23,0
1,2,c,19,23,0
1,2,c,20,23,0
1,3,c,1,16,1
1,3,c,2,16,1
1,3,c,3,17,1
1,3,c,4,17,1
1,3,c,5,17,1
1,3,c,6,18,1
1,3,c,7,18,1
1,3,c,8,18,1
1,3,c,9,21,1
1,3,c,10,21,1
1,3,c,11,23,0
1,3,c,12,23,0
1,3,c,13,23,0
1,3,c,14,23,0
1,3,c,15,23,0
1,3,c,16,23,0
1,3,c,17,23,0
1,3,c,18,23,0
1,3,c,19,23,0
1,3,c,20,23,0
1,4,c,1,17,1
1,4,c,2,17,1
1,4,c,3,17,1
1,4,c,4,17,1
1,4,c,5,17,1
1,4,c,6,17,1
1,4,c,7,17,1
1,4,c,8,17,1
1,4,c,9,18,1
1,4,c,10,18,1
1,4,c,11,23,0
1,4,c,12,23,0
1,4,c,13,23,0
1,4,c,14,23,0
1,4,c,15,23,0
1,4,c,16,23,0
1,4,c,17,23,0
1,4,c,18,23,0
1,4,c,19,23,0
1,4,c,20,23,0
2,5,Bas,1,15,1
2,5,Bas,2,16,1
2,5,Bas,3,16,1
2,5,Bas,4,16,1
2,5,Bas,5,17,1
2,5,Bas,6,17,1
2,5,Bas,7,20,1
2,5,Bas,8,20,1
2,5,Bas,9,23,0
2,5,Bas,10,23,0
2,5,Bas,11,23,0
2,5,Bas,12,23,0
2,5,Bas,13,23,0
2,5,Bas,14,23,0
2,5,Bas,15,23,0
2,5,Bas,16,23,0
2,5,Bas,17,23,0
2,5,Bas,18,23,0
2,5,Bas,19,23,0
2,5,Bas,20,23,0
2,6,Bas,1,16,1
2,6,Bas,2,23,0
2,6,Bas,3,23,0
2,6,Bas,4,23,0
2,6,Bas,5,23,0
2,6,Bas,6,23,0
2,6,Bas,7,23,0
2,6,Bas,8,23,0
2,6,Bas,9,23,0
2,6,Bas,10,23,0
2,6,Bas,11,23,0
2,6,Bas,12,23,0
2,6,Bas,13,23,0
2,6,Bas,14,23,0
2,6,Bas,15,23,0
2,6,Bas,16,23,0
2,6,Bas,17,23,0
2,6,Bas,18,23,0
2,6,Bas,19,23,0
2,6,Bas,20,23,0
2,7,Bas,1,23,0
2,7,Bas,2,23,0
2,7,Bas,3,23,0
2,7,Bas,4,23,0
2,7,Bas,5,23,0
2,7,Bas,6,23,0
2,7,Bas,7,23,0
2,7,Bas,8,23,0
2,7,Bas,9,23,0
2,7,Bas,10,23,0
2,7,Bas,11,23,0
2,7,Bas,12,23,0
2,7,Bas,13,23,0
2,7,Bas,14,23,0
2,7,Bas,15,23,0
2,7,Bas,16,23,0
2,7,Bas,17,23,0
2,7,Bas,18,23,0
2,7,Bas,19,23,0
2,7,Bas,20,23,0
2,8,Bas,1,15,1
2,8,Bas,2,15,1
2,8,Bas,3,15,1
2,8,Bas,4,15,1
2,8,Bas,5,15,1
2,8,Bas,6,15,1
2,8,Bas,7,15,1
2,8,Bas,8,15,1
2,8,Bas,9,15,1
2,8,Bas,10,16,1
2,8,Bas,11,17,1
2,8,Bas,12,23,0
2,8,Bas,13,23,0
2,8,Bas,14,23,0
2,8,Bas,15,23,0
2,8,Bas,16,23,0
2,8,Bas,17,23,0
2,8,Bas,18,23,0
2,8,Bas,19,23,0
2,8,Bas,20,23,0
2,9,Bas,1,15,1
2,9,Bas,2,15,1
2,9,Bas,3,15,1
2,9,Bas,4,23,0
2,9,Bas,5,23,0
2,9,Bas,6,23,0
2,9,Bas,7,23,0
2,9,Bas,8,23,0
2,9,Bas,9,23,0
2,9,Bas,10,23,0
2,9,Bas,11,23,0
2,9,Bas,12,23,0
2,9,Bas,13,23,0
2,9,Bas,14,23,0
2,9,Bas,15,23,0
2,9,Bas,16,23,0
2,9,Bas,17,23,0
2,9,Bas,18,23,0
2,9,Bas,19,23,0
2,9,Bas,20,23,0
2,10,Bas,1,15,1
2,10,Bas,2,15,1
2,10,Bas,3,17,1
2,10,Bas,4,17,1
2,10,Bas,5,17,1
2,10,Bas,6,23,0
2,10,Bas,7,23,0
2,10,Bas,8,23,0
2,10,Bas,9,23,0
2,10,Bas,10,23,0
2,10,Bas,11,23,0
2,10,Bas,12,23,0
2,10,Bas,13,23,0
2,10,Bas,14,23,0
2,10,Bas,15,23,0
2,10,Bas,16,23,0
2,10,Bas,17,23,0
2,10,Bas,18,23,0
2,10,Bas,19,23,0
2,10,Bas,20,23,0
2,5,Pod,1,14,1
2,5,Pod,2,16,1
2,5,Pod,3,16,1
2,5,Pod,4,16,1
2,5,Pod,5,16,1
2,5,Pod,6,16,1
2,5,Pod,7,16,1
2,5,Pod,8,16,1
2,5,Pod,9,16,1
2,5,Pod,10,23,0
2,5,Pod,11,23,0
2,5,Pod,12,23,0
2,5,Pod,13,23,0
2,5,Pod,14,23,0
2,5,Pod,15,23,0
2,5,Pod,16,23,0
2,5,Pod,17,23,0
2,5,Pod,18,23,0
2,5,Pod,19,23,0
2,5,Pod,20,23,0
2,6,Pod,1,16,1
2,6,Pod,2,16,1
2,6,Pod,3,16,1
2,6,Pod,4,16,1
2,6,Pod,5,16,1
2,6,Pod,6,16,1
2,6,Pod,7,16,1
2,6,Pod,8,16,1
2,6,Pod,9,16,1
2,6,Pod,10,17,1
2,6,Pod,11,17,1
2,6,Pod,12,17,1
2,6,Pod,13,17,1
2,6,Pod,14,17,1
2,6,Pod,15,18,1
2,6,Pod,16,23,0
2,6,Pod,17,23,0
2,6,Pod,18,23,0
2,6,Pod,19,23,0
2,6,Pod,20,23,0
2,7,Pod,1,15,1
2,7,Pod,2,16,1
2,7,Pod,3,16,1
2,7,Pod,4,16,1
2,7,Pod,5,16,1
2,7,Pod,6,16,1
