bloco,rep,trat,especie,emerg,tempo,censura
1,1,comp,Pod,1,18,1
1,1,comp,Pod,2,18,1
1,1,comp,Bas,3,18,1
1,1,comp,Bas,4,18,1
1,1,comp,Pod,5,19,1
1,1,comp,Pod,6,19,1
1,1,comp,Pod,7,20,1
1,1,comp,Bas,8,20,1
1,1,comp,NA,9,23,0
1,1,comp,NA,10,23,0
1,1,comp,NA,11,23,0
1,1,comp,NA,12,23,0
1,1,comp,NA,13,23,0
1,1,comp,NA,14,23,0
1,1,comp,NA,15,23,0
1,1,comp,NA,16,23,0
1,1,comp,NA,17,23,0
1,1,comp,NA,18,23,0
1,1,comp,NA,19,23,0
1,1,comp,NA,20,23,0
1,2,comp,Bas,1,16,1
1,2,comp,Bas,2,16,1
1,2,comp,Bas,3,17,1
1,2,comp,Bas,4,17,1
1,2,comp,Bas,5,17,1
1,2,comp,Bas,6,17,1
1,2,comp,Pod,7,17,1
1,2,comp,Bas,8,18,1
1,2,comp,Pod,9,19,1
1,2,comp,NA,10,23,0
1,2,comp,NA,11,23,0
1,2,comp,NA,12,23,0
1,2,comp,NA,13,23,0
1,2,comp,NA,14,23,0
1,2,comp,NA,15,23,0
1,2,comp,NA,16,23,0
1,2,comp,NA,17,23,0
1,2,comp,NA,18,23,0
1,2,comp,NA,19,23,0
1,2,comp,NA,20,23,0
1,3,comp,Bas,1,16,1
1,3,comp,Bas,2,16,1
1,3,comp,Bas,3,17,1
1,3,comp,Bas,4,17,1
1,3,comp,Bas,5,17,1
1,3,comp,Pod,6,18,1
1,3,comp,Pod,7,18,1
1,3,comp,Pod,8,18,1
1,3,comp,Pod,9,21,1
1,3,comp,Pod,10,21,1
1,3,comp,NA,11,23,0
1,3,comp,NA,12,23,0
1,3,comp,NA,13,23,0
1,3,comp,NA,14,23,0
1,3,comp,NA,15,23,0
1,3,comp,NA,16,23,0
1,3,comp,NA,17,23,0
1,3,comp,NA,18,23,0
1,3,comp,NA,19,23,0
1,3,comp,NA,20,23,0
1,4,comp,Pod,1,17,1
1,4,comp,Pod,2,17,1
1,4,comp,Bas,3,17,1
1,4,comp,Bas,4,17,1
1,4,comp,Bas,5,17,1
1,4,comp,Bas,6,17,1
1,4,comp,Bas,7,17,1
1,4,comp,Bas,8,17,1
1,4,comp,Pod,9,18,1
1,4,comp,Pod,10,18,1
1,4,comp,NA,11,23,0
1,4,comp,NA,12,23,0
1,4,comp,NA,13,23,0
1,4,comp,NA,14,23,0
1,4,comp,NA,15,23,0
1,4,comp,NA,16,23,0
1,4,comp,NA,17,23,0
1,4,comp,NA,18,23,0
1,4,comp,NA,19,23,0
1,4,comp,NA,20,23,0
2,5,c,Pod,1,16,1
2,5,c,Pod,2,16,1
2,5,c,Pod,3,16,1
2,5,c,Pod,4,16,1
2,5,c,Pod,5,16,1
2,5,c,Pod,6,16,1
2,5,c,Pod,7,17,1
2,5,c,Pod,8,17,1
2,5,c,Pod,9,17,1
2,5,c,Pod,10,18,1
2,5,c,Pod,11,18,1
2,5,c,Bas,12,18,1
2,5,c,Bas,13,18,1
2,5,c,NA,14,23,0
