rep,trat,massa,individuo,tempo
1,podisi,basalis,1,14
1,podisi,basalis,2,17
1,podisi,basalis,3,18
1,podisi,basalis,4,NA
1,podisi,podisi,1,16
1,podisi,podisi,2,17
1,podisi,podisi,3,NA
1,podisi,podisi,4,NA
1,podisi,ovo_sadio,1,17
1,podisi,ovo_sadio,2,NA
1,podisi,ovo_sadio,3,NA
1,podisi,ovo_sadio,4,NA
2,podisi,basalis,1,16
2,podisi,basalis,2,NA
2,podisi,basalis,3,NA
2,podisi,basalis,4,NA
2,podisi,podisi,1,15
2,podisi,podisi,2,16
2,podisi,podisi,3,16
2,podisi,podisi,4,NA
2,podisi,ovo_sadio,1,17
2,podisi,ovo_sadio,2,17
2,podisi,ovo_sadio,3,17
2,podisi,ovo_sadio,4,NA
3,podisi,basalis,1,NA
3,podisi,basalis,2,NA
3,podisi,basalis,3,NA
3,podisi,basalis,4,NA
3,podisi,podisi,1,13
3,podisi,podisi,2,14
3,podisi,podisi,3,14
3,podisi,podisi,4,15
3,podisi,ovo_sadio,1,17
3,podisi,ovo_sadio,2,NA
3,podisi,ovo_sadio,3,NA
3,podisi,ovo_sadio,4,NA
4,podisi,basalis,1,17
4,podisi,basalis,2,NA
4,podisi,basalis,3,NA
4,podisi,basalis,4,NA
4,podisi,podisi,1,14
4,podisi,podisi,2,14
4,podisi,podisi,3,15
4,podisi,podisi,4,NA
4,podisi,ovo_sadio,1,18
4,podisi,ovo_sadio,2,NA
4,podisi,ovo_sadio,3,NA
4,podisi,ovo_sadio,4,NA
5,podisi,basalis,1,16
5,podisi,basalis,2,NA
5,podisi,basalis,3,NA
5,podisi,basalis,4,NA
5,podisi,podisi,1,14
5,podisi,podisi,2,14
5,podisi,podisi,3,14
5,podisi,podisi,4,15
5,podisi,ovo_sadio,1,16
5,podisi,ovo_sadio,2,16
5,podisi,ovo_sadio,3,17
5,podisi,ovo_sadio,4,17
6,podisi,basalis,1,NA
6,podisi,basalis,2,NA
6,podisi,basalis,3,NA
6,podisi,basalis,4,NA
6,podisi,podisi,1,NA
6,podisi,podisi,2,NA
6,podisi,podisi,3,NA
6,podisi,podisi,4,NA
6,podisi,ovo_sadio,1,NA
6,podisi,ovo_sadio,2,NA
6,podisi,ovo_sadio,3,NA
6,podisi,ovo_sadio,4,NA
7,podisi,basalis,1,14
7,podisi,basalis,2,17
7,podisi,basalis,3,NA
7,podisi,basalis,4,NA
7,podisi,podisi,1,14
7,podisi,podisi,2,17
7,podisi,podisi,3,NA
7,podisi,podisi,4,NA
7,podisi,ovo_sadio,1,15
7,podisi,ovo_sadio,2,17
7,podisi,ovo_sadio,3,17
7,podisi,ovo_sadio,4,17
8,podisi,basalis,1,16
8,podisi,basalis,2,NA
8,podisi,basalis,3,NA
8,podisi,basalis,4,NA
8,podisi,podisi,1,15
8,podisi,podisi,2,NA
8,podisi,podisi,3,NA
8,podisi,podisi,4,NA
8,podisi,ovo_sadio,1,17
8,podisi,ovo_sadio,2,17
8,podisi,ovo_sadio,3,17
8,podisi,ovo_sadio,4,18
9,podisi,basalis,1,18
9,podisi,basalis,2,NA
9,podisi,basalis,3,NA
9,podisi,basalis,4,NA
9,podisi,podisi,1,15
9,podisi,podisi,2,15
9,podisi,podisi,3,17
9,podisi,podisi,4,17
9,podisi,ovo_sadio,1,16
9,podisi,ovo_sadio,2,16
9,podisi,ovo_sadio,3,17
9,podisi,ovo_sadio,4,17
10,podisi,basalis,1,18
10,podisi,basalis,2,18
10,podisi,basalis,3,18
10,podisi,basalis,4,18
10,podisi,podisi,1,14
10,podisi,podisi,2,14
10,podisi,podisi,3,NA
10,podisi,podisi,4,NA
10,podisi,ovo_sadio,1,17
10,podisi,ovo_sadio,2,17
10,podisi,ovo_sadio,3,17
10,podisi,ovo_sadio,4,17
1,basalis,basalis,1,14
1,basalis,basalis,2,14
1,basalis,basalis,3,14
1,basalis,basalis,4,NA
1,basalis,podisi,1,17
1,basalis,podisi,2,NA
1,basalis,podisi,3,NA
1,basalis,podisi,4,NA
1,basalis,ovo_sadio,1,17
1,basalis,ovo_sadio,2,17
1,basalis,ovo_sadio,3,17
1,basalis,ovo_sadio,4,NA
2,basalis,basalis,1,15
2,basalis,basalis,2,16
2,basalis,basalis,3,NA
2,basalis,basalis,4,NA
2,basalis,podisi,1,NA
2,basalis,podisi,2,NA
2,basalis,podisi,3,NA
2,basalis,podisi,4,NA
2,basalis,ovo_sadio,1,16
2,basalis,ovo_sadio,2,18
2,basalis,ovo_sadio,3,NA
2,basalis,ovo_sadio,4, NA
3,basalis,basalis,1,14
3,basalis,basalis,2,17
3,basalis,basalis,3,NA 
3,basalis,basalis,4,NA
3,basalis,podisi,1,NA
3,basalis,podisi,2,NA
3,basalis,podisi,3,NA
3,basalis,podisi,4,NA
3,basalis,ovo_sadio,1,16
3,basalis,ovo_sadio,2,17
3,basalis,ovo_sadio,3,NA
3,basalis,ovo_sadio,4,NA
4,basalis,basalis,1,15
4,basalis,basalis,2,NA
4,basalis,basalis,3,NA
4,basalis,basalis,4,NA
4,basalis,podisi,1,15
4,basalis,podisi,2,NA
4,basalis,podisi,3,NA
4,basalis,podisi,4,NA
4,basalis,ovo_sadio,1,14
4,basalis,ovo_sadio,2,17
4,basalis,ovo_sadio,3,NA
4,basalis,ovo_sadio,4,NA
5,basalis,basalis,1,13
5,basalis,basalis,2,14
5,basalis,basalis,3,NA
5,basalis,basalis,4,NA
5,basalis,podisi,1,NA
5,basalis,podisi,2,NA
5,basalis,podisi,3,NA
5,basalis,podisi,4,NA
5,basalis,ovo_sadio,1,15
5,basalis,ovo_sadio,2,NA
5,basalis,ovo_sadio,3,NA
5,basalis,ovo_sadio,4,NA
6,basalis,basalis,1,14
6,basalis,basalis,2,NA
6,basalis,basalis,3,NA
6,basalis,basalis,4,NA
6,basalis,podisi,1,15
6,basalis,podisi,2,16
6,basalis,podisi,3,16
6,basalis,podisi,4,NA
6,basalis,ovo_sadio,1,14
6,basalis,ovo_sadio,2,NA
6,basalis,ovo_sadio,3,NA
6,basalis,ovo_sadio,4,NA
7,basalis,basalis,1,14
7,basalis,basalis,2,NA
7,basalis,basalis,3,NA
7,basalis,basalis,4,NA
7,basalis,podisi,1,14
7,basalis,podisi,2,15
7,basalis,podisi,3,NA
7,basalis,podisi,4,NA
7,basalis,ovo_sadio,1,16
7,basalis,ovo_sadio,2,17
7,basalis,ovo_sadio,3,18
7,basalis,ovo_sadio,4,NA
8,basalis,basalis,1,17
8,basalis,basalis,2,NA
8,basalis,basalis,3,NA
8,basalis,basalis,4,NA
8,basalis,podisi,1,14
8,basalis,podisi,2,16
8,basalis,podisi,3,17
8,basalis,podisi,4,17
8,basalis,ovo_sadio,1,NA
8,basalis,ovo_sadio,2,NA
8,basalis,ovo_sadio,3,NA
8,basalis,ovo_sadio,4,NA
9,basalis,basalis,1,15
9,basalis,basalis,2,NA
9,basalis,basalis,3,NA
9,basalis,basalis,4,NA
9,basalis,podisi,1,16
9,basalis,podisi,2,16
9,basalis,podisi,3,NA
