N,trat,n_tb,n_tp,n_nenhum,n_morte,total,femeas_tb,femeas_tp,ninfa_viva
1,B,6,1,0,5,12,4,1,0
2,B,5,0,0,7,12,2,0,0
3,B,4,0,1,7,12,3,0,0
4,B,3,1,0,8,12,2,1,0
5,B,3,0,1,8,12,1,0,0
6,B,3,2,2,5,12,1,2,0
7,B,4,2,1,5,12,4,1,0
8,B,1,4,1,6,12,1,4,1
9,B,1,2,1,8,12,1,2,0
10,B,2,3,3,4,12,2,3,3
1,P,3,3,2,4,12,1,3,0
2,P,1,6,2,3,12,1,6,0
3,P,0,5,1,6,12,0,4,0
4,P,1,4,2,5,12,1,3,0
5,P,1,8,0,3,12,1,4,0
6,P,0,0,2,10,12,0,0,0
7,P,2,6,0,4,12,2,5,0
8,P,1,5,1,5,12,0,5,0
9,P,0,9,0,3,12,0,9,0
10,P,0,7,0,5,12,0,4,0
1,PB,4,4,3,1,12,4,3,0
2,PB,3,3,0,6,12,3,2,0
3,PB,0,5,4,3,12,0,3,0
4,PB,2,5,3,2,12,0,4,0
5,PB,4,4,1,3,12,2,4,0
6,PB,3,4,1,4,12,1,3,0
7,PB,3,4,2,3,12,3,4,0
8,PB,4,3,2,3,12,2,3,0
9,PB,3,2,0,7,12,3,2,0
10,PB,4,3,0,5,12,4,3,0
1,controle,0,0,4,8,12,0,0,4
2,controle,2,0,5,5,12,0,0,4
3,controle,2,1,5,4,12,2,1,4
4,controle,2,4,4,2,12,1,3,4
5,controle,1,2,7,2,12,1,2,4
6,controle,0,2,6,4,12,0,2,2
7,controle,2,4,6,0,12,2,4,4
8,controle,2,4,5,1,12,2,3,4
9,controle,3,3,4,2,12,3,2,4
10,controle,0,2,6,4,12,0,2,4
